DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,001500,Académie Antoine Manseau,Académie Antoine Manseau,"20, rue St-Charles Borromée S. C.P. 410",,61025,Joliette,V,J6E3Z9,Établissement d'enseignement privé,Privé,https://www.amanseau.qc.ca,-73.435402,46.02699,450 753-4271
,003500,L'Académie Beth Rivkah pour filles,L'Académie Beth Rivkah pour filles,"5001, rue Vézina ",,66023,Montréal,V,H3W1C2,Établissement d'enseignement privé,Privé,,-73.645687,45.494799,514 731-3681
,004500,Académie Chrétienne Rive Nord,Académie Chrétienne Rive Nord,"790, 18e Avenue",,65005,Laval,V,H7R4P3,Établissement d'enseignement privé,Privé,,-73.851856,45.558793,450 627-7070
,006500,Académie Francois-Labelle,Académie François-Labelle,"1227, rue Notre-Dame",,60013,Repentigny,V,J5Y3H2,Établissement d'enseignement privé,Privé,https://www.academiefrancoislabelle.qc.ca,-73.407863,45.778173,450 582-2020
,007500,Académie Ibn Sina,Académie Ibn Sina,"6500, 39e Avenue",,66023,Montréal,V,H1T2W8,Établissement d'enseignement privé,Privé,https://www.ibnsina.ca,-73.571898,45.572364,514 787-0065
,009500,Académie Kells,Académie Kells,"6865, boulevard De Maisonneuve Ouest",,66023,Montréal,V,H4B1T1,Établissement d'enseignement privé,Privé,https://www.kells.ca,-73.631288,45.45948,514 485-8565
,015500,Académie Kuper,Académie Kuper,"2, rue Aesop ",,66102,Kirkland,V,H9H5G5,Établissement d'enseignement privé,Privé,https://www.kuperacademy.ca,-73.838803,45.453178,514 426-3007
,016500,Académie Lafontaine,Académie Lafontaine inc.,"2171, boulevard Maurice",,75017,Saint-Jérôme,V,J7Y4M7,Établissement d'enseignement privé,Privé,https://www.academielafontaine.qc.ca,-74.007077,45.803262,450 431-3733
,017500,Collège Laurentien,Collège Laurentien,"1200, 14e Avenue",,78005,Val-Morin,M,J0T2R0,Établissement d'enseignement privé,Privé,https://www.collegelaurentien.ca,-74.196636,46.014746,819 322-2913
,019500,Académie Louis-Pasteur,Académie Louis-Pasteur,"7220, rue Marie-Victorin",,66023,Montréal,V,H1G2J5,Établissement d'enseignement privé,Privé,https://www.academielouispasteur.com,-73.602362,45.61726,514 322-6123
