DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,STYLE_CART,CD_REG_ADM,NOM_MRC,NOM_REG_ADM,NOM_CEP,LANG_ENS,NO_TEL
,749548,Collège LaSalle,Collège LaSalle,"2000, rue Sainte-Catherine Ouest",Bureau 2000,66023,Montréal,V,H3H2T2,Collège privé,Privé,https://www.collegelasalle.com,-73.581805,45.491442,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français,514 939-2006
,749550,Collège André-Grasset,Collège André-Grasset (secteur anglophone),"1001, boulvevard Crémazie Est",,66023,Montréal,V,H2M1M3,Installation collège privé,Privé,,-73.633141,45.551208,Collégial,2_Privé,06,Montréal,Montréal,Maurice-Richard,anglais,514 381-4293
,749556,Collège Jean-de-Brébeuf,Collège Jean-de-Brébeuf,"3200, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H3T1C1,Collège privé,Privé,https://www.brebeuf.qc.ca,-73.622805,45.501611,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français,514 342-1320
,749557,Collège international Marie de France,Collège international Marie de France,"4635, chemin Queen-Mary",,66023,Montréal,V,H3W1W3,Collège privé,Privé,https://www.cimf.ca,-73.625122,45.490252,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français,514 737-1177
,749561,Collège O'Sullivan de Montréal inc.,Collège O'Sullivan de Montréal inc.,"1191, rue de la Montagne",,66023,Montréal,V,H3G1Z2,Collège privé,Privé,https://www.osullivan.edu,-73.573406,45.497406,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français,514 866-4622
,749648,Collège LaSalle,Collège LaSalle,"1595, boulevard Daniel-Johnson",,65005,Laval,V,H7V4C2,Installation collège privé,Privé,https://www.collegelasalle.com/,-73.743126,45.557666,Collégial,2_Privé,13,Laval,Laval,Chomedey,français,514 939-2006
,749649,Collège LaSalle,Collège LaSalle (secteur anglophone),"1595, boulevard Daniel-Johnson",,65005,Laval,V,H7V4C2,Installation collège privé,Privé,https://www.collegelasalle.com/,-73.743126,45.557666,Collégial,2_Privé,13,Laval,Laval,Chomedey,anglais,514 939-2006
,749672,École nationale de théâtre du Canada,École nationale de théâtre du Canada,"5030, rue Saint-Denis",,66023,Montréal,V,H2J2L8,Collège privé,Privé,https://www.ent-nts.ca,-73.589031,45.526235,Collégial,2_Privé,06,Montréal,Montréal,Mercier,français,514 842-7954
,749673,École nationale de théâtre du Canada,École nationale de théâtre du Canada,"1182, boulevard Saint-Laurent",,66023,Montréal,V,H2X2S5,Installation collège privé,Privé,https://www.ent-nts.ca,-73.562448,45.508922,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français,514 842-7954
,749674,École nationale de théâtre du Canada,École nationale de théâtre du Canada,"360, avenue Laurier Est",,66023,Montréal,V,H2T3B6,Installation collège privé,Privé,https://www.ent-nts.ca,-73.58962,45.526379,Collégial,2_Privé,06,Montréal,Montréal,Mercier,français,514 842-7954
,749712,Collège Marianopolis,Collège Marianopolis,"4873, avenue Westmount",,66032,Westmount,V,H3Y1X9,Collège privé,Privé,https://www.marianopolis.edu,-73.612297,45.481213,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais,514 931-8792
,749713,Collège Marianopolis,Collège Marianopolis (secteur francophone),"4873, avenue Westmount",,66032,Westmount,V,H3Y1X9,Installation collège privé,Privé,https://www.marianopolis.edu/,-73.612296,45.481212,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français,514 931-8790
,749720,Collège April-Fortier,Collège April-Fortier,"1001, rue Sherbrooke Est, bureau 350",,66023,Montréal,V,H2L1N3,Collège privé,Privé,https://www.april-fortier.com,-73.566455,45.520519,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,français,514 878-1414
,749738,Institut Trebas Québec inc.,Institut Trebas Québec inc.,"550, rue Sherbrooke Ouest, 6e étage",,66023,Montréal,V,H3A1B9,Collège privé,Privé,https://www.trebas.com,-73.572533,45.505908,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français,514 845-4141
,749747,Collège CDI - Montréal,Collège CDI Administration . Technologie . Santé,"1259, rue Berri, 3e étage",,66023,Montréal,V,H2L4C7,Collège privé,Privé,https://www.collegecdi.ca,-73.55864,45.514458,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,français,514 849-1234
,749751,École de danse contemporaine de Montréal,École de danse contemporaine de Montréal,"1435, rue De Bleury, 6e étage",,66023,Montréal,V,H3A2H7,Collège privé,Privé,https://www.edcm.ca,-73.567519,45.506903,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français,514 866-9814
,749758,Collège Herzing,Collège Herzing,"8380, boulevard Lacordaire",,66023,Montréal,V,H1R3Y6,Collège privé,Privé,https://www.herzing.ca,-73.597089,45.585554,Collégial,2_Privé,06,Montréal,Montréal,Jeanne-Mance-Viger,français,514 935-7494
,749759,Collège Herzing,Collège Herzing (secteur anglophone),"8380, boulevard Lacordaire",,66023,Montréal,V,H1R3Y6,Installation collège privé,Privé,https://www.herzing.ca,-73.597089,45.585554,Collégial,2_Privé,06,Montréal,Montréal,Jeanne-Mance-Viger,anglais,514 935-7494
,749795,Les Écoles Créatives,Les Écoles Créatives,"3536, boulevard Saint-Laurent",,66023,Montréal,V,H2X2V1,Collège privé,Privé,https://collegesalette.com/,-73.57134,45.51293,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français,514 388-5725
,749796,Les Écoles Créatives,Les Écoles Créatives (secteur anglophone),"3536, boulevard Saint-Laurent",,66023,Montréal,V,H2X2V1,Installation collège privé,Privé,https://collegesalette.com/,-73.571334,45.512933,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais,514 388-5725
,749841,Collège Unica,Collège Unica,"4060, rue Sainte-Catherine Ouest",2e étage,66032,Westmount,V,H3Z2Z3,Collège privé,Privé,https://www.musitechnic.com,-73.586059,45.487643,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,français,514 521-2060
,749937,École nationale de cirque,École nationale de cirque,"8181, avenue du Cirque",,66023,Montréal,V,H1Z4N9,Collège privé,Privé,https://ecolenationaledecirque.ca/,-73.613646,45.561794,Collégial,2_Privé,06,Montréal,Montréal,Viau,français,514 982-0859
,749990,HUPR,"HUPR - Centre de recherche, d'innovation et de transfert en arts du cirque","8181, avenue du Cirque",,66023,Montréal,V,H1Z4N9,Centre collégial de transfert de technologie,Privé,https://hupr.ca/,-73.613644,45.561787,Collégial,2_Privé,06,Montréal,Montréal,Viau,,514 982-0859
,749995,École nationale de l'humour,École nationale de l'humour,"2120, rue Sherbrooke Est, 7e étage",,66023,Montréal,V,H2K1C3,Collège privé,Privé,https://www.enh.qc.ca,-73.562555,45.530986,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,français,514 849-7876
,900000,Cégep de la Gaspésie et des Îles,Cégep de la Gaspésie et des Îles,"96, rue Jacques-Cartier",,03005,Gaspé,V,G4X2S8,Cégep,Public,https://www.cegepgim.ca/,-64.484948,48.834178,Collégial,1_Public,11,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Gaspé,français,418 368-2201
